Receita Bruta Anual,Alíquota,IRPJ,CSLL,COFINS,PIS-PASEP,CPP,ICMS
"Até 180.000,00","4,00%","0,00%","0,00%","0,00%","0,00%","2,75%","1,25%"
"De 180.000,01 a 360.000,00","5,47%","0,00%","0,00%","0,86%","0,00%","2,75%","1,86%"
"De 360.000,01 a 540.000,00","6,84%","0,27%","0,31%","0,95%","0,23%","2,75%","2,33%"
"De 540.000,01 a 720.000,00","7,54%","0,35%","0,35%","1,04%","0,25%","2,99%","2,56%"
"De 720.000,01 a 900.000,00","7,60%","0,35%","0,35%","1,05%","0,25%","3,02%","2,58%"
"De 900.000,01 a 1.080.000,00","8,28%","0,38%","0,38%","1,15%","0,27%","3,28%","2,82%"
"De 1.080.000,01 a 1.260.000,00","8,36%","0,39%","0,39%","1,16%","0,28%","3,30%","2,84%"
"De 1.260.000,01 a 1.440.000,00","8,45%","0,39%","0,39%","1,17%","0,28%","3,35%","2,87%"
"De 1.440.000,01 a 1.620.000,00","9,03%","0,42%","0,42%","1,25%","0,30%","3,57%","3,07%"
"De 1.620.000,01 a 1.800.000,00","9,12%","0,43%","0,43%","1,26%","0,30%","3,60%","3,10%"
"De 1.800.000,01 a 1.980.000,00","9,95%","0,46%","0,46%","1,38%","0,33%","3,94%","3,38%"
"De 1.980.000,01 a 2.160.000,00","10,04%","0,46%","0,46%","1,39%","0,33%","3,99%","3,41%"
"De 2.160.000,01 a 2.340.000,00","10,13%","0,47%","0,47%","1,40%","0,33%","4,01%","3,45%"
"De 2.340.000,01 a 2.520.000,00","10,23%","0,47%","0,47%","1,42%","0,34%","4,05%","3,48%"
"De 2.520.000,01 a 2.700.000,00","10,32%","0,48%","0,48%","1,43%","0,34%","4,08%","3,51%"
"De 2.700.000,01 a 2.880.000,00","11,23%","0,52%","0,52%","1,56%","0,37%","4,44%","3,82%"
"De 2.880.000,01 a 3.060.000,00","11,32%","0,52%","0,52%","1,57%","0,37%","4,49%","3,85%"
"De 3.060.000,01 a 3.240.000,00","11,42%","0,53%","0,53%","1,58%","0,38%","4,52%","3,88%"
"De 3.240.000,01 a 3.420.000,00","11,51%","0,53%","0,53%","1,60%","0,38%","4,56%","3,91%"
"De 3.420.000,01 a 3.600.000,00","11,61%","0,54%","0,54%","1,60%","0,38%","4,60%","3,95%"
