OCUPAÇÃO,REF-ALT,CNAE,DESCRIÇÃO SUBCLASSE CNAE,ISS,ICMS
ABATEDOR(A) DE AVES,,01/01/1012,ABATE DE AVES,N,N
ABATEDOR(A) DE AVES COM COMERCIALIZAÇÃO DO PRODUTO,,4724-5/00,COMÉRCIO VAREJISTA DE HORTIFRUTIGRANJEIROS,N,S
ACABADOR(A) DE CALÇADOS,,02/09/1531,ACABAMENTO DE CALÇADOS DE COURO SOB CONTRATO,S,S
AÇOUGUEIRO(A),,01/09/4722,COMÉRCIO VAREJISTA DE CARNES - AÇOUGUES,N,S
ADESTRADOR(A) DE ANIMAIS ,(Redação dada pela Resolução CGSN nº 117/2014),08/02/9609,ALOJAMENTO DE ANIMAIS DOMÉSTICOS,S,N
ADESTRADOR(A) DE CÃES DE GUARDA,,02/01/8011,SERVIÇOS DE ADESTRAMENTO DE CÃES DE GUARDA,S,N
AGENTE DE CORREIO FRANQUEADO E PERMISSIONÁRIO,,02/05/5310,ATIVIDADES DE FRANQUEADAS DO CORREIO NACIONAL,S,S
AGENTE DE VIAGENS,,7911-2/00,AGÊNCIAS DE VIAGENS,S,N
AGENTE FUNERÁRIO,,04/03/9603,SERVIÇOS DE FUNERÁRIAS,S,N
AGENTE MATRIMONIAL,,02/02/9609,AGÊNCIAS MATRIMONIAIS,S,N
ALFAIATE,,02/06/1412,"CONFECÇÃO, SOB MEDIDA, DE PEÇAS DO VESTUÁRIO, EXCETO ROUPAS ÍNTIMAS",S,N
ALINHADOR(A) DE PNEUS,,4520-0/04,SERVIÇOS DE ALINHAMENTO E BALANCEAMENTO DE VEÍCULOS AUTOMOTORES,S,N
AMOLADOR(A) DE ARTIGOS DE CUTELARIA,,9529-1/99,REPARAÇÃO E MANUTENÇÃO DE OUTROS OBJETOS E EQUIPAMENTOS PESSOAIS E DOMÉSTICOS NÃO ESPECIFICADOS ANTERIORMENTE,S,N
ANIMADOR(A) DE FESTAS,,9329-8/99,OUTRAS ATIVIDADES DE RECREAÇÃO E LAZER NÃO ESPECIFICADAS ANTERIORMENTE,S,N
ANTIQUÁRIO(A),,01/07/4785,COMÉRCIO VAREJISTA DE ANTIGUIDADES,N,S
APLICADOR(A) AGRÍCOLA,,0161-0/01,SERVIÇO DE PULVERIZAÇÃO E CONTROLE DE PRAGAS AGRÍCOLAS,S,N
"APURADOR(A), COLETOR(A) E FORNECEDOR(A) DE RECORTES DE MATÉRIAS PUBLICADAS EM JORNAIS E REVISTAS",,6399-2/00,OUTRAS ATIVIDADES DE PRESTAÇÃO DE SERVIÇOS DE INFORMAÇÃO NÃO ESPECIFICADAS ANTERIORMENTE,S,N
ARMADOR(A) DE FERRAGENS NA CONSTRUÇÃO CIVIL,,01/03/2599,SERVIÇOS DE CONFECÇÃO DE ARMAÇÕES METÁLICAS PARA A CONSTRUÇÃO,S,N
ARQUIVISTA DE DOCUMENTOS,,8211-3/00,SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO,S,N
ARTESÃO(Ã) DE BIJUTERIAS,,3212-4/00,FABRICAÇÃO DE BIJUTERIAS E ARTEFATOS SEMELHANTES,N,S
ARTESÃO(Ã) EM BORRACHA,,2219-6/00,FABRICAÇÃO DE ARTEFATOS DE BORRACHA NÃO ESPECIFICADOS ANTERIORMENTE,N,S
ARTESÃO(Ã) EM CERÂMICA,,2349-4/99,FABRICAÇÃO DE PRODUTOS CERÂMICOS NÃO-REFRATÁRIOS NÃO ESPECIFICADOS ANTERIORMENTE,N,S
ARTESÃO(Ã) EM CIMENTO,,2330-3/99,"FABRICAÇÃO DE OUTROS ARTEFATOS E PRODUTOS DE CONCRETO, CIMENTO, FIBROCIMENTO, GESSO E MATERIAIS SEMELHANTES",N,S
"ARTESÃO(Ã) EM CORTIÇA, BAMBU E AFINS",,02/03/1629,"FABRICAÇÃO DE ARTEFATOS DIVERSOS DE CORTIÇA, BAMBU, PALHA, VIME E OUTROS MATERIAIS TRANÇADOS, EXCETO MÓVEIS",N,S
ARTESÃO(Ã) EM COURO,,1529-7/00,FABRICAÇÃO DE ARTEFATOS DE COURO NÃO ESPECIFICADOS ANTERIORMENTE,N,S
